"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","gene expression","GO:0010467","false","3.071193078884566e-11","10.512692879597877","9182","65","58","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","macromolecule biosynthetic process","GO:0009059","false","4.984110259080819e-10","9.302412358728358","9681","65","58","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","cellular biosynthetic process","GO:0044249","false","4.882107843098158e-9","8.311392631484756","10544","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","organic substance biosynthetic process","GO:1901576","false","7.6021428094749e-9","8.119063976250363","10632","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","biosynthetic process","GO:0009058","false","9.757722972492499e-9","8.010651515925094","10682","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","nitrogen compound metabolic process","GO:0006807","false","9.286789280253969e-7","6.032134408598749","12114","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","cellular metabolic process","GO:0044237","false","0.0000034250205230543527","5.465336821829204","12909","65","61","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SESN1,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","primary metabolic process","GO:0044238","false","0.000009966511226810448","5.0014568396927155","12666","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","macromolecule metabolic process","GO:0043170","false","0.000017091767638123934","4.767213020030276","12326","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","metabolic process","GO:0008152","false","0.0010960452051300032","2.960171533503427","14362","65","61","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SESN1,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
